CHROM	BIN_START	N_SNPS	TajimaD	Region
7A	120000	4	-0.601032	Central
7A	220000	1	-0.572782	Central
7A	230000	15	-1.07011	Central
7A	240000	21	-1.0135	Central
7A	250000	23	-0.922412	Central
7A	280000	3	-0.44689	Central
7A	290000	1	-0.995377	Central
7A	330000	1	-0.183462	Central
7A	340000	7	-1.65702	Central
7A	350000	2	-1.2224	Central
7A	370000	1	-0.335197	Central
7A	380000	21	-0.944346	Central
7A	430000	10	-1.65486	Central
7A	440000	7	-0.580906	Central
7A	460000	6	-0.365966	Central
7A	480000	1	-0.572782	Central
7A	510000	14	-0.0366546	Central
7A	520000	7	-0.18986	Central
7A	530000	34	1.07002	Central
7A	540000	11	-0.240477	Central
7A	650000	26	0.913229	Central
7A	660000	44	-0.907723	Central
7A	680000	4	-1.54664	Central
7A	710000	3	-0.995716	Central
7A	760000	35	-1.5246	Central
7A	780000	3	-0.736665	Central
7A	800000	1	-0.258664	Central
7A	820000	39	-1.40218	Central
7A	830000	2	-0.00194662	Central
7A	840000	9	-1.88022	Central
7A	940000	11	-1.9749	Central
7A	950000	1	-0.908196	Central
7A	970000	27	-1.96463	Central
7A	980000	16	-1.9987	Central
7A	1120000	8	-1.74747	Central
7A	1180000	17	-1.16711	Central
7A	1250000	2	-1.28013	Central
7A	1270000	7	-1.0674	Central
7A	1280000	42	-1.04596	Central
7A	1290000	22	0.358493	Central
7A	1310000	1	-0.654639	Central
7A	1370000	16	-1.31031	Central
7A	1400000	52	-1.81451	Central
7A	1410000	31	-1.60285	Central
7A	1420000	20	-1.1501	Central
7A	1430000	1	-0.258664	Central
7A	1440000	17	-1.98075	Central
7A	1470000	8	-1.65505	Central
7A	1490000	28	-1.32866	Central
7A	1500000	39	-1.76106	Central
7A	1520000	21	-1.7861	Central
7A	1690000	30	-0.93128	Central
7A	1700000	14	-1.42145	Central
7A	1710000	28	-1.40269	Central
7A	1720000	15	-1.28503	Central
7A	1730000	4	-1.62262	Central
7A	1740000	41	-0.398061	Central
7A	1840000	47	-1.62538	Central
7A	1850000	74	-1.39409	Central
7A	1860000	2	0.13903	Central
7A	1870000	2	-0.55914	Central
7A	1880000	6	-1.71594	Central
7A	1900000	14	-0.416426	Central
7A	1920000	23	-0.653168	Central
7A	1980000	40	-0.506691	Central
7A	1990000	49	-1.39528	Central
7A	2000000	2	-0.726969	Central
7A	2040000	9	-1.00447	Central
7A	2090000	1	-0.572782	Central
7A	2100000	1	-0.572782	Central
7A	2110000	39	-0.644052	Central
7A	2170000	1	-0.258664	Central
7A	2320000	1	-0.822346	Central
7A	2380000	1	-0.258664	Central
7A	2530000	1	-0.995377	Central
7A	2550000	1	-0.413061	Central
7A	2570000	22	-1.32175	Central
7A	2580000	62	-1.7102	Central
7A	2600000	26	-2.11943	Central
7A	2650000	14	-1.06212	Central
7A	2660000	78	-1.46356	Central
7A	2670000	25	0.611073	Central
7A	2680000	32	-1.05718	Central
7A	2690000	129	-0.796317	Central
7A	2700000	13	-1.24494	Central
7A	2710000	71	-0.0494002	Central
7A	2720000	19	-2.19113	Central
7A	2730000	2	-1.10604	Central
