CHROM	BIN_START	N_SNPS	TajimaD	Region
4A	80000	1	-0.908196	Central
4A	190000	6	-0.440916	Central
4A	200000	1	-0.995377	Central
4A	660000	4	-1.69685	Central
4A	730000	1	-0.258664	Central
4A	750000	7	-0.563784	Central
4A	1430000	3	-1.5208	Central
4A	1470000	1	-0.737827	Central
4A	1620000	3	-1.5208	Central
4A	1830000	13	-2.0643	Central
4A	1870000	2	-1.22151	Central
4A	1880000	2	-1.10694	Central
4A	1910000	3	-0.987337	Central
4A	1950000	6	-1.88606	Central
4A	2030000	1	-0.258664	Central
4A	2040000	5	-1.70277	Central
4A	2150000	16	-2.10033	Central
4A	2370000	2	-1.33876	Central
4A	2700000	1	-0.258664	Central
4A	2780000	1	-0.822346	Central
4A	2790000	4	-0.935664	Central
4A	2900000	1	0.555912	Central
4A	2930000	1	0.67304	Central
4A	2940000	9	-0.523963	Central
4A	2980000	4	-0.362092	Central
4A	2990000	14	0.624394	Central
4A	3060000	18	-0.561921	Central
4A	3110000	2	-0.463813	Central
4A	3120000	1	-0.183462	Central
4A	3130000	2	-0.247649	Central
4A	3140000	14	-1.23763	Central
4A	3150000	1	-0.995377	Central
4A	3220000	7	-1.17643	Central
4A	3350000	4	1.29512	Central
4A	3370000	1	0.615142	Central
4A	3380000	9	1.1111	Central
4A	3440000	3	-0.823248	Central
4A	3450000	1	-0.908196	Central
4A	3580000	1	-0.654639	Central
4A	3760000	1	-0.908196	Central
4A	3790000	7	0.844336	Central
4A	3800000	4	-1.43326	Central
4A	3860000	1	0.495351	Central
4A	3870000	1	-0.822346	Central
4A	4000000	1	-0.822346	Central
4A	4180000	1	-0.908196	Central
4A	4190000	1	-0.995377	Central
4A	4230000	7	-1.65269	Central
4A	4240000	2	-0.888533	Central
4A	4250000	15	-1.81266	Central
4A	4280000	1	-0.822346	Central
4A	4380000	5	-0.774443	Central
4A	4460000	9	-0.874135	Central
4A	4470000	2	-0.938211	Central
4A	4590000	3	0.0052284	Central
4A	4620000	7	0.0421701	Central
4A	4630000	1	-0.908196	Central
4A	4770000	10	-1.20701	Central
