CHROM	BIN_START	N_SNPS	TajimaD	Region
6A	100000	38	-1.61615	Central
6A	110000	2	2.23623	Central
6A	190000	8	2.19301	Central
6A	280000	9	-1.63589	Central
6A	570000	65	-0.630845	Central
6A	600000	9	-1.83939	Central
6A	610000	72	-1.37461	Central
6A	620000	7	-1.65308	Central
6A	630000	126	-0.835133	Central
6A	640000	27	-0.905191	Central
6A	660000	8	0.030438	Central
6A	680000	34	-1.58875	Central
6A	700000	23	-0.0829366	Central
6A	720000	29	-2.06142	Central
6A	730000	30	-1.75934	Central
6A	760000	6	-1.49658	Central
6A	780000	3	-1.07671	Central
6A	790000	19	-1.7785	Central
6A	800000	10	-1.42958	Central
6A	810000	18	-1.34018	Central
6A	820000	3	0.175951	Central
6A	860000	14	-2.20605	Central
6A	910000	11	-1.32404	Central
6A	920000	1	-0.995377	Central
6A	940000	34	-0.729402	Central
6A	950000	18	0.351073	Central
6A	1030000	6	-1.74341	Central
6A	1050000	14	-0.673802	Central
6A	1060000	5	-1.5755	Central
6A	1090000	3	1.28897	Central
6A	1120000	12	-1.43071	Central
6A	1270000	6	-1.68802	Central
6A	1320000	5	-1.67057	Central
6A	1330000	30	-1.25657	Central
6A	1400000	4	-0.968431	Central
6A	1410000	49	-1.33488	Central
6A	1430000	5	-1.20167	Central
6A	1460000	2	-0.993259	Central
6A	1490000	5	-1.76964	Central
6A	1500000	4	-0.378911	Central
6A	1640000	3	-1.17447	Central
6A	1650000	17	-0.276214	Central
6A	1660000	76	-0.797001	Central
6A	1670000	30	-1.03853	Central
6A	1690000	7	-1.60172	Central
6A	1730000	31	2.09413	Central
6A	1750000	8	-1.39385	Central
6A	1800000	5	-0.942889	Central
6A	1810000	11	-1.68033	Central
6A	1820000	7	-1.09515	Central
6A	1830000	57	-1.6214	Central
6A	1870000	83	-1.34702	Central
6A	1880000	71	-2.06896	Central
6A	1890000	5	-0.144083	Central
6A	1900000	36	-1.71434	Central
6A	1920000	78	-1.26606	Central
6A	1940000	34	-1.36029	Central
6A	1960000	32	0.202335	Central
6A	1980000	37	0.383762	Central
6A	2050000	5	-0.865529	Central
6A	2060000	46	-0.4649	Central
6A	2120000	17	0.0607774	Central
6A	2130000	31	0.240752	Central
6A	2140000	3	-0.993622	Central
6A	2150000	10	-1.92219	Central
6A	2170000	17	0.958173	Central
6A	2180000	19	1.01854	Central
6A	2210000	1	-0.995377	Central
6A	2220000	22	0.357385	Central
6A	2230000	22	-1.00661	Central
6A	2240000	9	0.869211	Central
6A	2260000	2	-0.784703	Central
6A	2270000	12	-1.57001	Central
6A	2330000	8	-1.01686	Central
6A	2390000	17	0.0813472	Central
6A	2400000	45	0.163605	Central
6A	2410000	6	1.35545	Central
6A	2440000	1	-0.183462	Central
6A	2480000	1	-0.908196	Central
6A	2540000	9	-1.68064	Central
6A	2610000	2	-0.778437	Central
6A	2680000	20	0.135475	Central
6A	2690000	33	0.900588	Central
6A	2700000	3	-0.242302	Central
6A	2710000	6	-0.598728	Central
6A	2720000	23	0.93847	Central
6A	2730000	43	-0.928066	Central
6A	2750000	13	0.372317	Central
6A	2760000	22	0.115261	Central
6A	2770000	8	0.642938	Central
6A	2780000	3	1.30258	Central
6A	2790000	41	-0.528162	Central
6A	2800000	14	-1.59038	Central
6A	2840000	3	-1.34065	Central
6A	2870000	2	-1.28013	Central
6A	2920000	15	0.253759	Central
6A	2950000	39	0.51827	Central
6A	2970000	58	2.3721	Central
6A	2990000	41	-1.46797	Central
6A	3000000	12	-0.652837	Central
6A	3010000	39	-0.222246	Central
6A	3110000	9	0.405201	Central
6A	3160000	24	-0.455965	Central
6A	3200000	1	-0.0370517	Central
6A	3240000	5	-1.80084	Central
6A	3270000	14	-0.708904	Central
6A	3280000	1	-0.183462	Central
6A	3290000	23	-2.07452	Central
6A	3310000	3	-0.959058	Central
6A	3320000	5	-1.73546	Central
6A	3330000	5	-0.748241	Central
6A	3350000	29	-0.858013	Central
6A	3530000	8	-1.90323	Central
6A	3600000	15	-0.75369	Central
6A	3620000	28	-1.45229	Central
6A	3660000	13	0.144187	Central
6A	3670000	1	-0.258664	Central
6A	3680000	29	-1.78085	Central
6A	3690000	9	-0.203517	Central
6A	3740000	29	-1.58745	Central
6A	3770000	50	1.01965	Central
6A	3840000	1	-0.109592	Central
6A	3850000	62	-0.866871	Central
6A	3870000	4	-1.65886	Central
6A	3900000	2	-1.28013	Central
6A	3910000	16	-0.555161	Central
6A	4010000	2	-1.22151	Central
6A	4510000	1	-0.908196	Central
6A	4520000	8	-1.64774	Central
6A	4570000	22	-2.29444	Central
6A	4590000	28	-1.88008	Central
6A	4660000	20	-1.65673	Central
6A	4670000	14	0.277416	Central
6A	4700000	53	2.05647	Central
6A	4710000	85	0.536577	Central
6A	4720000	14	-1.50193	Central
6A	4730000	4	-1.435	Central
6A	4760000	11	-1.70496	Central
6A	4770000	17	-1.58166	Central
6A	4810000	2	-0.66297	Central
6A	4860000	14	-1.13925	Central
6A	4890000	1	-0.822346	Central
6A	4910000	1	-0.908196	Central
6A	4930000	3	-0.691278	Central
6A	4950000	4	-1.73484	Central
6A	5030000	6	-0.34135	Central
6A	5060000	8	-0.557262	Central
6A	5070000	13	0.725729	Central
6A	5100000	5	-1.27304	Central
6A	5110000	4	-0.944943	Central
6A	5120000	1	-0.822346	Central
6A	5200000	5	1.75349	Central
6A	5230000	5	0.179083	Central
6A	5280000	1	-0.995377	Central
6A	5290000	12	-1.42823	Central
6A	5310000	11	0.252394	Central
6A	5320000	44	0.462853	Central
6A	5350000	8	1.95376	Central
6A	5360000	1	-0.572782	Central
6A	5460000	5	0.156873	Central
6A	5470000	1	0.104035	Central
6A	5480000	2	1.30533	Central
6A	5490000	10	-1.075	Central
6A	5500000	8	-1.06378	Central
6A	5510000	1	-0.109592	Central
6A	5530000	3	-1.38429	Central
6A	5540000	6	-0.306622	Central
6A	5550000	20	0.984458	Central
6A	5600000	10	-1.25854	Central
