CHROM	BIN_START	N_SNPS	TajimaD	Region
1A	710000	1	-0.995377	Central
1A	800000	5	-1.83353	Central
1A	1140000	21	-1.78726	Central
1A	1150000	25	-1.80168	Central
1A	1160000	55	-1.49735	Central
1A	1170000	29	-1.1502	Central
1A	1180000	20	-1.68264	Central
1A	1190000	7	-1.00423	Central
1A	1200000	19	-1.13487	Central
1A	1210000	12	-0.988789	Central
1A	1220000	2	-0.716228	Central
1A	1230000	37	-1.54188	Central
1A	1300000	8	-1.02721	Central
1A	1310000	13	-1.87723	Central
1A	1330000	23	-1.32784	Central
1A	1340000	10	-1.41632	Central
1A	1650000	30	-1.93187	Central
1A	1660000	1	-0.822346	Central
1A	1670000	6	-1.08447	Central
1A	1680000	13	-1.63353	Central
1A	1690000	43	-0.67732	Central
1A	1720000	72	-2.21498	Central
1A	1730000	34	-1.0069	Central
1A	1770000	16	-0.670979	Central
1A	1790000	48	-0.906205	Central
1A	1800000	57	-0.433724	Central
1A	1810000	17	-0.954428	Central
1A	2010000	9	-1.40838	Central
1A	2160000	32	-2.03135	Central
1A	2170000	4	-1.50808	Central
1A	2180000	17	-1.00128	Central
1A	2200000	11	-2.24821	Central
1A	2220000	4	-1.39817	Central
1A	2290000	1	-0.995377	Central
1A	2340000	8	-1.92517	Central
1A	2370000	47	-1.72669	Central
1A	2380000	4	-0.788936	Central
1A	2390000	6	-0.753242	Central
1A	2430000	31	-1.61702	Central
1A	2440000	55	-2.05638	Central
1A	2470000	40	-1.97933	Central
1A	2480000	1	-0.908196	Central
1A	2490000	3	-1.1612	Central
1A	2510000	42	-2.34732	Central
1A	2520000	13	-1.87821	Central
1A	2540000	6	-1.97244	Central
1A	2630000	24	-1.13809	Central
1A	2640000	16	-1.60094	Central
1A	2650000	9	-1.26497	Central
1A	2660000	13	0.233061	Central
1A	2820000	1	-0.995377	Central
1A	2830000	1	-0.822346	Central
1A	2840000	1	-0.0370517	Central
1A	2940000	7	-0.554534	Central
1A	2950000	10	-2.0771	Central
1A	2970000	20	-0.911162	Central
1A	2980000	18	-2.15279	Central
1A	3010000	29	-1.05496	Central
1A	3020000	25	-1.37037	Central
1A	3070000	34	-1.68414	Central
1A	3090000	35	-1.68169	Central
1A	3110000	4	-1.58405	Central
1A	3120000	11	-1.76303	Central
1A	3250000	14	-2.034	Central
1A	3260000	21	-2.13721	Central
1A	3370000	5	-1.47942	Central
1A	3380000	47	-1.12586	Central
1A	3390000	6	-0.503997	Central
1A	3440000	24	-1.54144	Central
1A	3450000	29	-1.59907	Central
1A	3460000	13	-1.89452	Central
1A	3480000	10	-1.73141	Central
1A	3490000	12	-1.37688	Central
1A	3500000	8	-1.55246	Central
1A	3530000	1	-0.908196	Central
1A	3570000	24	-1.82184	Central
1A	3580000	21	-1.3283	Central
1A	3600000	4	-0.165199	Central
1A	3610000	15	-1.16093	Central
1A	3620000	3	1.71211	Central
1A	3650000	39	-2.02589	Central
1A	3660000	28	-1.32693	Central
1A	3670000	88	-0.0113666	Central
1A	3680000	33	0.0640925	Central
1A	3690000	12	0.586824	Central
1A	3700000	74	-0.499431	Central
1A	3750000	73	-1.65471	Central
1A	3760000	83	-0.742543	Central
1A	3770000	32	-0.427648	Central
1A	3790000	17	0.56587	Central
1A	3800000	6	1.02489	Central
1A	3810000	1	-0.908196	Central
1A	3840000	72	-0.825097	Central
1A	3910000	39	-0.438242	Central
1A	4030000	2	-0.55556	Central
1A	4040000	46	-0.630763	Central
1A	4050000	48	-1.36762	Central
1A	4060000	1	-0.995377	Central
1A	4090000	47	-1.003	Central
1A	4200000	44	-1.19308	Central
1A	4210000	8	-0.895181	Central
1A	4490000	37	-2.2004	Central
1A	4500000	67	-2.07948	Central
