CHROM	BIN_START	N_SNPS	TajimaD	Region
3A	70000	6	-1.7722	Central
3A	80000	12	-1.48925	Central
3A	90000	24	0.399814	Central
3A	100000	7	0.936439	Central
3A	110000	9	0.508096	Central
3A	120000	48	-1.96191	Central
3A	130000	8	0.0218741	Central
3A	140000	9	-1.41866	Central
3A	160000	16	-1.74667	Central
3A	170000	38	-0.145214	Central
3A	180000	21	-0.767022	Central
3A	200000	10	-0.238658	Central
3A	220000	1	-0.908196	Central
3A	370000	31	-0.748877	Central
3A	390000	11	-0.414284	Central
3A	400000	11	-1.662	Central
3A	410000	57	0.308579	Central
3A	430000	15	-0.706647	Central
3A	440000	21	-1.43137	Central
3A	460000	1	-0.0370517	Central
3A	500000	14	-0.699205	Central
3A	510000	4	1.59321	Central
3A	540000	40	-1.13413	Central
3A	600000	2	1.88132	Central
3A	640000	13	-1.8483	Central
3A	700000	21	1.53063	Central
3A	710000	1	-0.183462	Central
3A	900000	10	0.656905	Central
3A	910000	1	-0.908196	Central
3A	940000	1	-0.654639	Central
3A	960000	17	-1.99306	Central
3A	970000	23	-1.44864	Central
3A	1020000	6	-0.859183	Central
3A	1030000	24	-2.04354	Central
3A	1050000	6	-1.56032	Central
3A	1120000	20	-1.50524	Central
3A	1200000	1	-0.654639	Central
3A	1210000	11	-1.05787	Central
3A	1300000	35	-0.278777	Central
3A	1310000	22	1.33546	Central
3A	1320000	24	-0.231694	Central
3A	1380000	30	0.503115	Central
3A	1390000	20	-1.41779	Central
3A	1510000	2	-1.28013	Central
3A	1620000	12	-1.64331	Central
3A	1700000	14	-1.47272	Central
3A	1710000	4	0.462308	Central
3A	1740000	20	-2.30994	Central
3A	1760000	18	-1.96993	Central
3A	1770000	12	0.319736	Central
3A	1780000	24	-1.86989	Central
3A	1790000	3	-0.683598	Central
3A	1880000	25	-2.1808	Central
3A	1890000	62	-2.52298	Central
3A	1900000	4	-1.21636	Central
3A	1910000	1	-0.258664	Central
3A	1920000	34	-0.8311	Central
3A	1930000	2	-1.2224	Central
3A	6090000	2	-1.28013	Central
3A	6100000	3	-1.42933	Central
3A	6670000	8	-2.06576	Central
3A	6710000	7	-0.884768	Central
3A	6760000	1	-0.995377	Central
3A	6890000	19	-2.21354	Central
3A	7120000	10	-1.12066	Central
3A	7130000	2	-0.888533	Central
3A	7200000	5	0.109209	Central
3A	7210000	13	2.31112	Central
3A	7250000	18	-0.441546	Central
3A	7260000	21	-1.29455	Central
3A	7270000	14	1.87005	Central
3A	7280000	4	-1.39643	Central
3A	7290000	6	1.83988	Central
3A	7310000	9	-1.29307	Central
3A	7350000	1	-0.572782	Central
3A	7380000	23	-1.45778	Central
3A	7430000	36	0.366364	Central
3A	7470000	56	-0.517489	Central
3A	7480000	12	3.98005	Central
3A	7490000	21	0.73036	Central
3A	7500000	1	-0.995377	Central
3A	7650000	3	-1.13432	Central
3A	7780000	2	-1.16377	Central
3A	7790000	5	0.795219	Central
3A	7860000	1	-0.822346	Central
3A	7900000	2	-1.10604	Central
3A	7920000	14	-1.61486	Central
3A	7950000	8	-1.03559	Central
3A	7990000	12	-1.73844	Central
3A	8000000	5	-1.47992	Central
3A	8020000	39	-1.5632	Central
3A	8030000	27	-0.925905	Central
3A	8060000	2	-0.770381	Central
3A	8080000	2	-0.0623652	Central
3A	8140000	1	-0.995377	Central
3A	8160000	17	-1.98115	Central
3A	8210000	12	-0.153027	Central
3A	8230000	30	-1.39161	Central
3A	8250000	79	-1.41863	Central
3A	8260000	32	-1.421	Central
3A	8280000	16	-0.586936	Central
3A	8290000	58	-1.63753	Central
3A	8310000	43	-1.43739	Central
3A	8320000	38	-1.39255	Central
3A	8550000	3	-1.03237	Central
3A	8570000	61	-2.0019	Central
3A	8580000	16	-1.62671	Central
3A	8590000	18	0.610212	Central
3A	8680000	12	-0.380261	Central
3A	8690000	9	-1.75936	Central
3A	8700000	56	-1.71578	Central
3A	8730000	57	-2.17979	Central
3A	8740000	20	-1.84048	Central
3A	8780000	24	-1.23897	Central
3A	8790000	17	-1.15727	Central
3A	8800000	12	-2.02186	Central
3A	8830000	35	-0.0172013	Central
3A	8840000	3	-0.997113	Central
3A	8860000	51	0.908012	Central
3A	8900000	22	-0.447535	Central
3A	8910000	2	0.224064	Central
3A	8930000	19	-1.66439	Central
3A	8940000	2	-0.347451	Central
3A	8990000	20	-1.5909	Central
3A	9010000	1	-0.737827	Central
3A	9020000	5	-1.54181	Central
3A	9040000	6	-1.29393	Central
3A	9060000	17	0.658484	Central
3A	9100000	3	-0.0604073	Central
3A	9110000	9	0.842752	Central
3A	9120000	7	-1.07114	Central
3A	9180000	25	-1.30247	Central
3A	9270000	14	0.215987	Central
3A	9280000	6	-1.5201	Central
3A	9460000	15	-1.81178	Central
3A	9480000	16	-2.26325	Central
3A	9500000	2	-0.995944	Central
3A	9520000	27	-1.93915	Central
3A	9540000	40	-1.56273	Central
3A	9550000	5	-1.54929	Central
3A	9560000	5	-1.60769	Central
3A	9570000	24	-0.442759	Central
3A	9580000	38	1.19754	Central
3A	9590000	49	-1.09399	Central
3A	9600000	10	0.430565	Central
3A	9610000	41	-1.76873	Central
3A	9620000	2	-0.843331	Central
3A	9630000	7	-1.60467	Central
3A	9730000	50	-0.848692	Central
3A	9770000	25	-1.27493	Central
3A	9780000	8	-1.32445	Central
3A	9810000	53	-1.68015	Central
3A	9840000	12	-0.909603	Central
3A	9850000	35	-0.112391	Central
3A	9870000	12	-1.65991	Central
3A	9880000	6	-1.51966	Central
3A	9890000	1	-0.995377	Central
3A	9930000	15	-1.14968	Central
3A	9940000	16	-1.33318	Central
3A	9970000	23	-1.37557	Central
