CHROM	BIN_START	N_SNPS	TajimaD	Region
5A	270000	2	-1.28013	Central
5A	330000	2	-1.33876	Central
5A	630000	1	0.305682	Central
5A	640000	12	-1.348	Central
5A	650000	23	0.168799	Central
5A	680000	6	-0.950397	Central
5A	690000	19	2.06531	Central
5A	750000	1	-0.258664	Central
5A	850000	6	1.83021	Central
5A	870000	1	-0.908196	Central
5A	1030000	12	-2.17671	Central
5A	1110000	17	2.31332	Central
5A	1130000	2	-1.33876	Central
5A	1160000	2	-1.0492	Central
5A	1170000	2	-0.992364	Central
5A	1200000	9	0.760272	Central
5A	1220000	19	2.23159	Central
5A	1240000	1	-0.908196	Central
5A	1260000	28	-0.0679905	Central
5A	1270000	3	-0.568386	Central
5A	1290000	3	-1.43003	Central
5A	1300000	1	-0.822346	Central
5A	1390000	10	-0.116748	Central
5A	1510000	4	-0.963211	Central
5A	1710000	8	1.09861	Central
5A	1720000	2	-0.881372	Central
5A	1730000	2	-0.894799	Central
5A	1750000	19	2.47686	Central
5A	1770000	1	-0.995377	Central
5A	1800000	7	2.4408	Central
5A	1810000	3	-1.38569	Central
5A	1830000	5	1.43856	Central
5A	1940000	2	-0.148741	Central
5A	1950000	2	-0.894799	Central
5A	1980000	1	-0.908196	Central
5A	2080000	3	-0.382651	Central
5A	2100000	8	1.42029	Central
5A	2110000	7	0.124237	Central
5A	2120000	4	1.17304	Central
5A	2200000	3	-0.816964	Central
5A	2310000	2	-0.743081	Central
5A	2340000	1	1.08831	Central
5A	2390000	2	0.850179	Central
5A	2400000	14	-0.471734	Central
5A	2410000	4	-1.07485	Central
5A	2420000	78	-0.299708	Central
5A	2430000	13	-1.49636	Central
5A	2540000	10	-0.626088	Central
5A	2610000	10	0.538612	Central
5A	2640000	2	0.639385	Central
5A	2650000	1	0.838751	Central
5A	2720000	7	1.93186	Central
5A	2730000	2	-0.577937	Central
5A	2810000	2	2.43091	Central
5A	2860000	2	-1.10962	Central
5A	2870000	16	1.16276	Central
5A	2880000	1	-0.183462	Central
5A	2890000	6	-1.18404	Central
5A	2930000	4	-1.25087	Central
5A	2970000	1	-0.908196	Central
5A	3020000	3	-0.779607	Central
5A	3030000	3	-1.56654	Central
5A	3050000	1	-0.654639	Central
5A	3080000	6	-0.442674	Central
5A	3130000	19	-2.03157	Central
5A	3160000	8	-1.50982	Central
5A	3170000	8	-1.42811	Central
5A	3210000	20	-1.66805	Central
5A	3230000	1	-0.995377	Central
5A	3300000	5	-0.924921	Central
5A	3310000	23	-1.82126	Central
5A	3350000	1	-0.822346	Central
5A	3370000	25	-0.136278	Central
5A	3380000	14	-1.09826	Central
5A	3400000	6	-1.33086	Central
5A	3410000	25	-0.085728	Central
5A	3420000	6	-1.22536	Central
5A	3430000	19	-0.718115	Central
5A	3440000	9	-0.703622	Central
5A	3450000	2	-0.880477	Central
5A	3460000	1	-0.654639	Central
5A	3500000	1	-0.654639	Central
5A	3510000	4	0.300502	Central
5A	3520000	6	1.17391	Central
5A	3550000	15	-0.00230541	Central
5A	3610000	67	-0.339995	Central
5A	3640000	1	-0.995377	Central
5A	3650000	5	-1.51011	Central
5A	3690000	6	2.39002	Central
5A	3700000	3	1.57804	Central
5A	3870000	10	-2.23412	Central
5A	3980000	22	-1.40765	Central
5A	3990000	7	-1.6336	Central
5A	4000000	10	1.94653	Central
